timestamp_ms,symbol,side,price,quantity,trade_id
1705313446900,btcusdt,sell,50277.55,0.6012,T100149
1705313451400,btcusdt,buy,50285.20,0.2456,T100150
1705313455200,btcusdt,sell,50280.85,0.4678,T100151
1705313459800,btcusdt,buy,50288.40,0.1345,T100152
1705313464300,btcusdt,sell,50284.05,0.3567,T100153
1705313468900,btcusdt,buy,50291.65,0.5890,T100154
1705313473400,btcusdt,buy,50294.88,0.2123,T100155
1705313477200,btcusdt,sell,50290.55,0.4345,T100156
1705313481800,btcusdt,buy,50298.20,0.1678,T100157
1705313486300,btcusdt,sell,50293.85,0.3901,T100158
1705313490900,btcusdt,buy,50301.40,0.5234,T100159
1705313495400,btcusdt,sell,50297.05,0.2012,T100160
1705313499200,btcusdt,buy,50304.65,0.4567,T100161
1705313503800,btcusdt,buy,50307.88,0.1234,T100162
1705313508300,btcusdt,sell,50303.55,0.3789,T100163
1705313512900,btcusdt,buy,50311.20,0.6012,T100164
1705313517400,btcusdt,sell,50306.85,0.2456,T100165
1705313521200,btcusdt,buy,50314.40,0.4678,T100166
1705313525800,btcusdt,sell,50310.05,0.1345,T100167
1705313530300,btcusdt,buy,50317.65,0.3567,T100168
1705313534900,btcusdt,buy,50320.88,0.5890,T100169
1705313539400,btcusdt,sell,50316.55,0.2123,T100170
1705313543200,btcusdt,buy,50324.20,0.4345,T100171
1705313547800,btcusdt,sell,50319.85,0.1678,T100172
1705313552300,btcusdt,buy,50327.40,0.3901,T100173
1705313556900,btcusdt,sell,50323.05,0.5234,T100174
1705313561400,btcusdt,buy,50330.65,0.2012,T100175
1705313565200,btcusdt,sell,50326.30,0.4567,T100176
1705313569800,btcusdt,buy,50333.88,0.1234,T100177
1705313574300,btcusdt,buy,50337.45,0.3789,T100178
1705313578900,btcusdt,sell,50333.10,0.6012,T100179
1705313583400,btcusdt,buy,50340.65,0.2456,T100180
1705313587200,btcusdt,sell,50336.30,0.4678,T100181
1705313591800,btcusdt,buy,50343.88,0.1345,T100182
1705313596300,btcusdt,sell,50339.55,0.3567,T100183
1705313600900,btcusdt,buy,50347.20,0.5890,T100184
1705313605400,btcusdt,buy,50350.65,0.2123,T100185
1705313609200,btcusdt,sell,50346.30,0.4345,T100186
1705313613800,btcusdt,buy,50353.88,0.1678,T100187
1705313618300,btcusdt,sell,50349.55,0.3901,T100188
1705313622900,btcusdt,buy,50357.20,0.5234,T100189
1705313627400,btcusdt,sell,50352.85,0.2012,T100190
1705313631200,btcusdt,buy,50360.40,0.4567,T100191
1705313635800,btcusdt,buy,50363.65,0.1234,T100192
1705313640300,btcusdt,sell,50359.30,0.3789,T100193
1705313644900,btcusdt,buy,50366.88,0.6012,T100194
1705313649400,btcusdt,sell,50362.55,0.2456,T100195
1705313653200,btcusdt,buy,50370.20,0.4678,T100196
1705313657800,btcusdt,sell,50365.85,0.1345,T100197
1705313662300,btcusdt,buy,50373.40,0.3567,T100198
1705313666900,btcusdt,sell,50369.05,0.5890,T100199
1705313671400,btcusdt,buy,50376.65,0.2123,T100200
